OBJECTID,NAME,ADDRESS,WEB_URL,GIS_ID,XCOORD,YCOORD,ADDR_ID
1,Howard University,2400 6TH STREET NW,http://www.howard.edu/,Univ_007,398129.260000000009313,139473.110000000015134,284379
2,American University,4400 MASSACHUSETTS AVENUE NW,http://www.american.edu/,Univ_001,392334.760000000009313,141247.380000000004657,223994
3,George Washington University,2121 I STREET NW,http://www.gwu.edu/,Univ_005,395865.510000000009313,137012.820000000006985,242496
4,Gallaudet University,800 FLORIDA AVENUE NE,http://www.gallaudet.edu/,Univ_003,400439.780000000027940,137546.459999999991851,288964
5,Georgetown Law School,600 NEW JERSEY AVENUE NW,http://www.law.georgetown.edu/,Univ_013,398907.090000000025611,136664.779999999998836,300811
6,Howard University School of Divinity,1400 SHEPHERD STREET NE,http://www.howard.edu/divinity/,Univ_032,401458.580000000016298,141293.820000000006985,301065
7,Marist College,815 VARNUM STREET NE,http://www.marist.edu/,Univ_028,400379.859999999986030,141688.380000000004657,288984
8,Catholic University of America,620 MICHIGAN AVENUE NE,http://www.cua.edu/,Univ_002,400185.380000000004657,140548.790000000008149,300821
9,University of the District of Columbia,4200 CONNECTICUT AVENUE NW,http://www.udc.edu/,Univ_012,394423.739999999990687,141839.769999999989523,297694
10,Dominican House of Studies,487 MICHIGAN AVENUE NE,http://www.dhs.edu,Univ_016,400124.270000000018626,140381.779999999998836,288291
11,Stanford in Washington,2661 CONNECTICUT AVENUE NW,https://siw.stanford.edu/,Univ_023,395480.929999999993015,139710.410000000003492,219108
12,Trinity College,125 MICHIGAN AVENUE NE,http://www.trinitydc.edu/,Univ_011,399628.640000000013970,139955.630000000004657,285983
13,George Washington University at Mount Vernon College,2100 FOXHALL ROAD NW,https://www.gwu.edu/mount-vernon-campus,Univ_004,392182.710000000020955,138937.839999999996508,224574
14,Strayer University,1133 15TH STREET NW,http://www.strayer.edu/,Univ_010,397049.040000000037253,137444.640000000013970,240246
15,Saint Paul's College,3015 4TH STREET NE,http://www.paulist.org/location/st-pauls-college/,Univ_017,400115.340000000025611,139998.500000000000000,289740
16,Our Lady of Lebanon Maronite Seminary,7164 ALASKA AVENUE NW,http://maroniteseminary.org/,Univ_026,397018.080000000016298,145493.550000000017462,259410
17,Johns Hopkins University Paul H. Nitze School of Advanced International Studies,1740 MASSACHUSETTS AVENUE NW,http://www.sais-jhu.edu/,Univ_033,396501.850000000034925,137803.690000000002328,241748
18,Potomac College,4000 CHESAPEAKE STREET NW,http://www.potomac.edu/,Univ_027,393147.070000000006985,142517.080000000016298,265169
19,Les Aspin Center for Government,502 EAST CAPITOL STREET NE,http://www.marquette.edu/aspin/,Univ_031,400069.609999999986030,135807.679999999993015,14853
20,Cornell in Washington,2148 O STREET NW,http://www.ciw.cornell.edu/,Univ_034,395801.520000000018626,137837.369999999995343,242466
21,American University Washington College of Law,4801 MASSACHUSETTS AVENUE NW,http://www.wcl.american.edu/,Univ_019,391768.929999999993015,141909.720000000001164,269573
22,Syracuse University,2301 CALVERT STREET NW,http://greenberghouse.syr.edu/,Univ_024,395609.340000000025611,139543.519999999989523,236662
23,University of California Washington Center,1608 RHODE ISLAND AVENUE NW,http://www.ucdc.edu/,Univ_030,396757.510000000009313,137628.049999999988358,279253
24,Theological College,401 MICHIGAN AVENUE NE,http://www.theologicalcollege.org/,Univ_036,400003.479999999981374,140337.790000000008149,288071
25,Howard University Law School,2900 VAN NESS STREET NW,http://www.law.howard.edu/,Univ_015,394831.750000000000000,141656.390000000013970,223093
26,"NYU Washington, DC",1307 L STREET NW,http://www.nyu.edu/global/global-academic-centers/washington-dc.html,Univ_038,397376.619999999995343,137340.600000000005821,240639
27,The Institute of World Politics,1521 16TH STREET NW,http://www.iwp.edu/,Univ_039,396870.890000000013970,138071.630000000004657,225686
28,"ASU in Washington, DC",1834 CONNECTICUT AVENUE NW,https://washingtondc.asu.edu/,Univ_037,395953.090000000025611,138625.730000000010477,235078
29,National Defense University,300 5TH AVENUE SW,http://www.ndu.edu/,Univ_008,398691.520000000018626,133142.179999999993015,306779
30,Georgetown University,3700 O STREET NW,http://www.georgetown.edu/,Univ_006,393618.299999999988358,137883.570000000006985,291456
31,Capuchin College,4121 Harewood Road NE,http://capuchincollege.com/,Univ_040,399810.679999999993015,141391.329999999987194,289608
