FID,GEOID,ABBR,NAME,SHAPE_Leng,SHAPE_Area
13,US01,AL,Alabama,2320153.75,1.90E+11
14,US02,AK,Alaska,82187247.01,8.21E+12
11,C48,Alta,Alberta,6794753.009,2.04E+12
45,US60,AS,American Samoa,206034.7778,216264798.3
15,US04,AZ,Arizona,2898728.666,4.34E+11
16,US05,AR,Arkansas,2627534.59,2.05E+11
0,C59,BC,British Columbia,58584463.69,2.87E+12
17,US06,CA,California,5458997.087,6.50E+11
18,US08,CO,Colorado,2707587.019,4.47E+11
66,US69,MP,Commonwealth of the Northern Mariana Islands,370218.859,520042327.1
19,US09,CT,Connecticut,842808.2593,23157735794
20,US10,DE,Delaware,562217.5473,8634825039
21,US11,DC,District of Columbia,81679.87314,292583134
46,US12,FL,Florida,5151891.536,1.97E+11
22,US13,GA,Georgia,2492191.474,2.16E+11
65,US66,GU,Guam,161853.4348,596236063.4
23,US15,HI,Hawaii,1677969.659,19133155562
24,US16,ID,Idaho,4104019.693,4.25E+11
25,US17,IL,Illinois,2731984.576,2.50E+11
26,US18,IN,Indiana,2210107.229,1.60E+11
27,US19,IA,Iowa,2463000.94,2.65E+11
28,US20,KS,Kansas,2568050.49,3.48E+11
47,US21,KY,Kentucky,2699942.419,1.67E+11
48,US22,LA,Louisiana,4587107.632,1.67E+11
49,US23,ME,Maine,5067609.631,1.72E+11
5,C46,Man,Manitoba,7353452.187,1.98E+12
29,US24,MD,Maryland,3581302.912,44233027289
50,US25,MA,Massachusetts,2199725.549,38818645419
51,US26,MI,Michigan,7518986.971,2.96E+11
30,US27,MN,Minnesota,4507385.898,4.59E+11
31,US28,MS,Mississippi,2975966.388,1.75E+11
52,US29,MO,Missouri,3024445.788,2.94E+11
32,US30,MT,Montana,4530384.869,8.20E+11
53,US31,NE,Nebraska,2914180.114,3.58E+11
33,US32,NV,Nevada,3049414.707,4.80E+11
7,C13,NB,New Brunswick,5424442.796,1.55E+11
54,US33,NH,New Hampshire,1278210.786,45995152293
34,US34,NJ,New Jersey,1114402.574,34568122230
35,US35,NM,New Mexico,2899312.144,4.64E+11
55,US36,NY,New York,3852334.969,2.37E+11
9,C10,NL,Newfoundland and Labrador,53938838.12,1.12E+12
56,US37,NC,North Carolina,4944309.795,1.95E+11
36,US38,ND,North Dakota,3082376.492,4.00E+11
8,C61,NWT,Northwest Territories,83373808.48,8.79E+12
10,C12,NS,Nova Scotia,13177846.44,1.12E+11
2,C62,Nvt,Nunavut,517073097,2.28E+13
57,US39,OH,Ohio,2294735.854,1.84E+11
37,US40,OK,Oklahoma,3270968.568,2.74E+11
6,C35,Ont,Ontario,36788439.36,2.45E+12
58,US41,OR,Oregon,3292377.074,4.85E+11
38,US42,PA,Pennsylvania,2099761.782,2.05E+11
3,C11,PEI,Prince Edward Island,2066679.758,12383887664
1,C24,Que,Quebec,51459857.09,4.31E+12
59,US44,RI,Rhode Island,765893.9256,5106147670
12,C47,Sask,Saskatchewan,6176121.098,1.94E+12
39,US45,SC,South Carolina,1903282.922,1.17E+11
40,US46,SD,South Dakota,2903968.534,3.92E+11
60,US47,TN,Tennessee,2590940.262,1.66E+11
61,US48,TX,Texas,8656050.857,9.51E+11
41,US49,UT,Utah,2557132.796,3.68E+11
42,US50,VT,Vermont,1248961.312,48269907621
62,US51,VA,Virginia,4071007.757,1.67E+11
63,US53,WA,Washington,6311325.517,3.83E+11
43,US54,WV,West Virginia,2543702.648,1.03E+11
64,US55,WI,Wisconsin,3700109.171,2.87E+11
44,US56,WY,Wyoming,2776934.493,4.74E+11
4,C60,YT,Yukon,10686332.94,2.47E+12
